Replication;BOAT_GROUP_QUEUE: Total queue length;BOAT_GROUP_QUEUE: Waiting time arbitrary customer;waitingTimeArbitraryCustomer;Mean boat occupancy;totalQueuelength
1;0,16456;5,2E-4;5,6E-4;0,3495075;0,16456
37,0.08,0.0,0.0,0.3675,0.08
38,0.09,0.0,0.0,0.36625,0.09
39,0.33,0.0,0.0,0.37875,0.33
40,0.13,0.0,0.0,0.31125,0.13
41,0.1,0.0,0.0,0.32,0.1
42,0.05,0.0,0.0,0.3025,0.05
43,0.0,0.0,0.0,0.29125,0.0
44,0.22,0.0,0.0,0.37125,0.22
45,0.0,0.0,0.0,0.3725,0.0
46,0.09,0.0,0.0,0.3275,0.09
47,0.09,0.0,0.0,0.315,0.09
48,0.66,0.01,0.01,0.3875,0.66
49,0.05,0.0,0.0,0.305,0.05
50,0.15,0.0,0.0,0.37625,0.15
51,0.36,0.0,0.0,0.34875,0.36
52,0.15,0.0,0.0,0.3425,0.15
53,0.13,0.0,0.0,0.39,0.13
54,0.19,0.0,0.0,0.3475,0.19
55,0.28,0.0,0.0,0.32375,0.28
56,0.31,0.0,0.0,0.335,0.31
57,0.09,0.0,0.0,0.32,0.09
58,0.2,0.0,0.0,0.38125,0.2
59,0.18,0.0,0.0,0.35125,0.18
60,0.42,0.0,0.0,0.40375,0.42
61,0.53,0.0,0.0,0.42,0.53
62,0.19,0.0,0.0,0.38,0.19
63,0.32,0.0,0.0,0.37375,0.32
64,0.0,0.0,0.0,0.28125,0.0
65,0.04,0.0,0.0,0.33875,0.04
66,0.0,0.0,0.0,0.335,0.0
67,0.23,0.0,0.0,0.3825,0.23
68,0.22,0.0,0.0,0.31875,0.22
69,0.09,0.0,0.0,0.275,0.09
70,0.09,0.0,0.0,0.31125,0.09
71,0.39,0.01,0.0,0.33375,0.39
72,0.16,0.0,0.0,0.39875,0.16
73,0.13,0.0,0.0,0.365,0.13
74,0.08,0.0,0.0,0.365,0.08
75,0.09,0.0,0.0,0.3725,0.09
76,0.09,0.0,0.0,0.36125,0.09
77,0.18,0.0,0.0,0.33875,0.18
78,0.17,0.0,0.0,0.35,0.17
79,0.18,0.0,0.0,0.32875,0.18
80,0.19,0.0,0.0,0.29625,0.19
81,0.27,0.0,0.0,0.3525,0.27
82,0.26,0.0,0.0,0.3525,0.26
83,0.14,0.0,0.0,0.3725,0.14
84,0.33,0.0,0.0,0.37375,0.33
85,0.14,0.0,0.0,0.36375,0.14
86,0.18,0.0,0.0,0.3525,0.18
87,0.34,0.0,0.01,0.31875,0.34
88,0.71,0.0,0.0,0.42875,0.71
89,0.1,0.0,0.0,0.3825,0.1
90,0.09,0.0,0.0,0.305,0.09
91,0.13,0.0,0.0,0.28375,0.13
92,0.14,0.0,0.0,0.32625,0.14
93,0.12,0.0,0.0,0.335,0.12
94,0.24,0.0,0.0,0.41625,0.24
95,0.18,0.0,0.0,0.35625,0.18
96,0.14,0.0,0.0,0.35375,0.14
97,0.05,0.0,0.0,0.30125,0.05
98,0.44,0.0,0.0,0.3675,0.44
99,0.34,0.0,0.0,0.385,0.34
100,0.12,0.0,0.0,0.28625,0.12
1,0.24,0.0,0.0,0.35375,0.24
2,0.14,0.0,0.0,0.38125,0.14
1,0.2,0.0,0.0,0.35875,0.2
3,0.23,0.0,0.0,0.3275,0.23
2,0.41,0.0,0.0,0.38125,0.41
3,0.05,0.0,0.0,0.3025,0.05
1,0.18,0.0,0.0,0.38,0.18
4,0.14,0.0,0.0,0.34,0.14
5,0.21,0.0,0.0,0.33875,0.21
4,0.18,0.0,0.0,0.305,0.18
6,0.04,0.0,0.0,0.2875,0.04
5,0.08,0.0,0.0,0.38,0.08
7,0.44,0.02,0.01,0.39,0.44
8,0.0,0.0,0.0,0.28,0.0
2,0.05,0.0,0.0,0.3125,0.05
6,0.29,0.0,0.0,0.34,0.29
3,0.17,0.0,0.0,0.38375,0.17
9,0.41,0.01,0.01,0.3675,0.41
10,0.05,0.0,0.0,0.38125,0.05
11,0.38,0.0,0.0,0.39,0.38
12,0.11,0.0,0.0,0.3225,0.11
4,0.0,0.0,0.0,0.3425,0.0
7,0.14,0.0,0.0,0.34375,0.14
8,0.32,0.01,0.01,0.30125,0.32
5,0.13,0.0,0.0,0.315,0.13
13,0.0,0.0,0.0,0.3075,0.0
6,0.14,0.0,0.0,0.37375,0.14
9,0.22,0.0,0.0,0.38375,0.22
7,0.05,0.0,0.0,0.34125,0.05
14,0.05,0.0,0.0,0.33875,0.05
10,0.23,0.0,0.0,0.33375,0.23
8,0.21,0.0,0.0,0.35875,0.21
11,0.0,0.0,0.0,0.3825,0.0
15,0.08,0.0,0.0,0.36125,0.08
12,0.44,0.0,0.0,0.3425,0.44
16,0.13,0.0,0.0,0.35625,0.13
9,0.04,0.0,0.0,0.31875,0.04
17,0.39,0.0,0.0,0.41125,0.39
10,0.09,0.0,0.0,0.3175,0.09
18,0.17,0.0,0.0,0.3225,0.17
11,0.89,0.01,0.03,0.3175,0.89
19,0.22,0.01,0.01,0.3325,0.22
13,0.53,0.0,0.0,0.36875,0.53
14,0.14,0.0,0.0,0.35875,0.14
15,0.05,0.0,0.0,0.36125,0.05
12,0.14,0.0,0.0,0.32625,0.14
20,0.23,0.0,0.0,0.315,0.23
13,0.3,0.0,0.0,0.35125,0.3
14,0.0,0.0,0.0,0.27375,0.0
21,0.17,0.0,0.0,0.38,0.17
22,0.05,0.0,0.0,0.32,0.05
16,0.05,0.0,0.0,0.34,0.05
17,0.05,0.0,0.0,0.33375,0.05
18,0.2,0.0,0.0,0.3225,0.2
19,0.0,0.0,0.0,0.28125,0.0
23,0.05,0.0,0.0,0.3675,0.05
15,0.31,0.0,0.0,0.37375,0.31
24,0.56,0.01,0.01,0.33625,0.56
16,0.14,0.0,0.0,0.34375,0.14
17,0.14,0.0,0.0,0.32,0.14
25,0.0,0.0,0.0,0.3025,0.0
18,0.19,0.0,0.0,0.35875,0.19
20,0.1,0.0,0.0,0.28875,0.1
21,0.43,0.01,0.01,0.33625,0.43
22,0.13,0.0,0.0,0.3175,0.13
26,0.14,0.0,0.0,0.34125,0.14
19,0.35,0.0,0.0,0.3225,0.35
27,0.1,0.0,0.0,0.32375,0.1
20,0.14,0.0,0.0,0.3375,0.14
28,0.53,0.0,0.0,0.385,0.53
21,0.19,0.0,0.0,0.3575,0.19
23,0.05,0.0,0.0,0.315,0.05
24,0.19,0.0,0.0,0.3925,0.19
25,0.04,0.0,0.0,0.33625,0.04
29,0.75,0.0,0.0,0.35625,0.75
22,0.04,0.0,0.0,0.36625,0.04
30,0.05,0.0,0.0,0.32,0.05
23,0.19,0.0,0.0,0.335,0.19
31,0.23,0.0,0.0,0.37125,0.23
32,0.0,0.0,0.0,0.35625,0.0
24,0.09,0.0,0.0,0.36875,0.09
26,0.61,0.0,0.0,0.35875,0.61
27,0.14,0.0,0.0,0.335,0.14
28,0.17,0.0,0.0,0.355,0.17
25,0.22,0.0,0.0,0.33375,0.22
33,0.2,0.0,0.0,0.36375,0.2
26,0.14,0.0,0.0,0.30625,0.14
34,0.0,0.0,0.0,0.30375,0.0
27,0.1,0.0,0.0,0.3425,0.1
35,0.38,0.0,0.0,0.35625,0.38
29,0.14,0.0,0.0,0.345,0.14
30,0.1,0.0,0.0,0.325,0.1
31,0.2,0.0,0.0,0.37875,0.2
32,0.09,0.0,0.0,0.3575,0.09
28,0.13,0.0,0.0,0.36625,0.13
29,0.5,0.0,0.0,0.42,0.5
30,0.22,0.0,0.0,0.345,0.22
36,0.09,0.0,0.0,0.3,0.09
31,0.29,0.0,0.0,0.415,0.29
37,0.0,0.0,0.0,0.2925,0.0
38,0.1,0.0,0.0,0.32375,0.1
33,0.09,0.0,0.0,0.315,0.09
34,0.14,0.0,0.0,0.34625,0.14
35,0.12,0.0,0.0,0.33375,0.12
32,0.28,0.0,0.0,0.36125,0.28
39,0.13,0.0,0.0,0.3475,0.13
36,0.19,0.0,0.0,0.3475,0.19
40,0.15,0.0,0.0,0.34375,0.15
37,0.17,0.0,0.0,0.3475,0.17
33,0.34,0.0,0.0,0.315,0.34
41,0.24,0.01,0.01,0.32125,0.24
34,0.11,0.0,0.0,0.32,0.11
38,0.52,0.01,0.01,0.39375,0.52
39,0.26,0.0,0.0,0.33375,0.26
42,0.75,0.02,0.02,0.36375,0.75
35,0.27,0.0,0.0,0.4025,0.27
40,0.0,0.0,0.0,0.30125,0.0
43,0.08,0.0,0.0,0.34625,0.08
44,0.13,0.0,0.0,0.37875,0.13
41,0.37,0.0,0.0,0.37875,0.37
42,0.18,0.0,0.0,0.3825,0.18
45,0.04,0.0,0.0,0.34875,0.04
43,0.27,0.0,0.0,0.34,0.27
46,0.07,0.0,0.0,0.2825,0.07
36,0.08,0.0,0.0,0.34375,0.08
37,0.08,0.0,0.0,0.34125,0.08
38,0.17,0.0,0.0,0.34125,0.17
39,0.09,0.0,0.0,0.305,0.09
47,0.0,0.0,0.0,0.2875,0.0
48,0.21,0.0,0.0,0.285,0.21
49,0.0,0.0,0.0,0.33125,0.0
44,0.18,0.0,0.0,0.34625,0.18
40,0.22,0.0,0.0,0.3525,0.22
45,0.0,0.0,0.0,0.32375,0.0
41,0.05,0.0,0.0,0.2975,0.05
46,0.09,0.0,0.0,0.32625,0.09
42,0.15,0.0,0.0,0.30875,0.15
50,0.1,0.0,0.0,0.37375,0.1
51,0.09,0.0,0.0,0.32625,0.09
52,0.19,0.0,0.0,0.35125,0.19
47,0.14,0.0,0.0,0.38,0.14
43,0.18,0.0,0.0,0.34875,0.18
44,0.17,0.0,0.0,0.34875,0.17
48,0.18,0.0,0.0,0.37125,0.18
49,0.24,0.0,0.0,0.36375,0.24
45,0.0,0.0,0.0,0.33125,0.0
53,0.09,0.0,0.0,0.3375,0.09
46,0.16,0.0,0.0,0.33,0.16
50,0.1,0.0,0.0,0.36875,0.1
47,0.36,0.0,0.0,0.3425,0.36
54,0.32,0.0,0.0,0.39375,0.32
48,0.0,0.0,0.0,0.335,0.0
55,0.09,0.0,0.0,0.33625,0.09
51,0.32,0.0,0.0,0.37625,0.32
49,0.54,0.0,0.0,0.4,0.54
52,0.05,0.0,0.0,0.2925,0.05
56,0.59,0.0,0.01,0.38375,0.59
53,0.23,0.0,0.0,0.35125,0.23
57,0.1,0.0,0.0,0.35125,0.1
